Customer ID,Name,Age,Gender,City,Email,Phone,Purchase Amount ($),Last Purchase Date
1,Ali Khan,28,Male,Karachi,ali@example.com,03001234567,250,2026-06-01
2,Sara Ahmed,24,Female,Lahore,sara@example.com,03011234567,180,2026-05-28
3,Usman Ali,35,Male,Islamabad,usman@example.com,03121234567,420,2026-05-20
4,Ayesha Noor,30,Female,Peshawar,ayesha@example.com,03331234567,150,2026-06-03
5,Hassan Raza,40,Male,Quetta,hassan@example.com,03451234567,600,2026-04-15
6,Fatima Zahra,27,Female,Multan,fatima@example.com,03061234567,310,2026-06-05
7,Bilal Ahmed,32,Male,Faisalabad,bilal@example.com,03071234567,275,2026-05-10
8,Hina Malik,22,Female,Karachi,hina@example.com,03081234567,90,2026-06-06
9,Omar Sheikh,29,Male,Lahore,omar@example.com,03091234567,340,2026-05-25
10,Zainab Ali,26,Female,Islamabad,zainab@example.com,03101234567,410,2026-05-30
11,Saad Khan,38,Male,Karachi,saad@example.com,03111234567,520,2026-04-20
12,Noor Fatima,31,Female,Lahore,noor@example.com,03121234567,200,2026-06-02
13,Imran Shah,45,Male,Peshawar,imran@example.com,03131234567,750,2026-03-18
14,Mehwish Khan,23,Female,Quetta,mehwish@example.com,03141234567,120,2026-06-04
15,Asad Riaz,36,Male,Multan,asad@example.com,03151234567,390,2026-05-14
